Date,NIFTY Bank index,NIFTY FMCG index,NIFTY IT index,NIFTY Pharma index
4/20/2020,20522.65,28598.1,12847.65,9149.2
4/21/2020,19409.35,28480.6,12408.85,9381.65
4/22/2020,19701.85,29185.15,12571.3,9377.0
4/23/2020,20267.95,28786.25,13128.2,9388.9
4/24/2020,19586.65,28636.7,12816.2,9518.45
4/27/2020,20081.15,29052.55,13121.15,9602.05
4/28/2020,20671.1,28778.15,13133.65,9386.2
4/29/2020,21090.2,28665.0,13424.95,9385.45
4/30/2020,21534.5,28669.3,14108.35,9327.1
5/4/2020,19743.75,27599.0,13454.25,9364.6
5/5/2020,19271.75,27138.6,13388.0,9181.5
5/6/2020,19694.55,26630.2,13394.7,9227.15
5/7/2020,19491.8,26254.55,13292.7,9148.1
5/8/2020,19352.9,26759.8,13403.6,9343.35
5/11/2020,18950.5,26667.8,13593.55,9307.3
5/12/2020,18862.85,26857.15,13687.75,9246.65
5/13/2020,19634.95,26746.5,13776.95,9147.75
5/14/2020,19068.5,26933.65,13293.7,9172.2
5/15/2020,18833.95,26958.65,13196.35,9093.0
5/18/2020,17573.2,26694.65,13314.4,9092.65
5/19/2020,17486.25,26895.75,13446.6,9084.6
5/20/2020,17840.2,27290.35,13517.35,9456.8
5/21/2020,17735.1,27887.1,13647.9,9520.55
5/22/2020,17278.9,27786.1,13842.65,9600.65
5/26/2020,17440.35,28122.3,13574.95,9483.5
5/27/2020,18710.55,28222.4,13952.9,9463.7
5/28/2020,19169.8,28451.6,14028.6,9464.5
5/29/2020,19297.25,29296.95,14010.5,9768.6
6/1/2020,19959.9,29571.3,14307.1,9802.1
6/2/2020,20530.2,29359.85,14422.4,9833.6
6/3/2020,20940.7,29527.0,14361.7,9864.05
6/4/2020,20390.45,29621.55,14627.45,10077.85
6/5/2020,21034.5,29542.0,14627.45,10081.3
6/8/2020,21187.35,29502.15,14894.6,9939.1
6/9/2020,20724.9,29524.9,14737.8,10122.05
6/10/2020,21100.1,29503.2,14842.05,10149.25
6/11/2020,20525.15,29092.45,14619.45,9933.4
6/12/2020,20654.55,29145.6,14402.75,9982.8
6/15/2020,19912.9,28701.8,14396.7,9989.05
6/16/2020,20296.7,28575.35,14450.8,9926.4
6/17/2020,20201.75,28431.75,14478.45,9977.2
6/18/2020,20956.3,28648.7,14551.25,9975.3
6/19/2020,21338.1,28709.45,14499.8,10002.15
6/22/2020,21708.35,28865.45,14463.65,10218.35
6/23/2020,22264.9,29355.2,14680.4,10360.8
6/24/2020,21426.8,29487.4,14581.45,10110.5
6/25/2020,21506.15,30113.25,14411.2,10193.15
6/26/2020,21592.05,29757.05,14994.65,10137.85
6/29/2020,21359.0,29971.65,14768.0,10135.9
6/30/2020,21370.15,30063.25,14754.3,9985.15
7/1/2020,21977.6,30232.5,14732.1,9882.85
7/2/2020,21953.2,30316.2,15122.55,9943.65
7/3/2020,21852.4,30529.1,15285.9,9963.4
7/6/2020,22198.95,30647.65,15464.95,9901.25
7/7/2020,22628.0,30518.2,15784.95,9878.0
7/8/2020,22584.65,30773.9,15513.65,9948.5
7/9/2020,22907.2,30671.75,15535.95,9987.55
7/10/2020,22398.45,30821.15,15565.2,10072.25
7/13/2020,22089.25,31214.9,15819.2,10106.6
7/14/2020,21392.2,30932.85,15640.55,10155.05
7/15/2020,21340.75,31140.45,16459.8,10210.75
7/16/2020,21597.15,31182.35,16926.05,10382.3
7/17/2020,21966.8,31439.3,16821.35,10472.15
7/20/2020,22321.85,31536.35,17258.3,10304.6
7/21/2020,22782.0,31280.25,17273.2,10153.8
7/22/2020,22882.6,31051.6,17076.05,10175.2
7/23/2020,23083.9,31101.9,17045.2,10322.15
7/24/2020,22662.05,31018.85,17286.0,10237.95
7/27/2020,21848.75,30819.75,17626.75,10062.05
